bin,right,frequency
5,6,0.12328767123287673
6,7,0.12924359737939248
7,8,0.11673615247170934
8,9,0.1042287075640262
9,10,0.10780226325193567
10,11,0.08814770696843357
11,12,0.06491959499702203
12,13,0.04883859440142941
13,14,0.03692674210839785
14,15,0.036331149493746273
15,16,0.029184038117927336
16,17,0.019058963668850504
17,18,0.015485407980941037
18,19,0.01727218582489577
19,20,0.011316259678379987
20,21,0.009529481834425252
21,22,0.01012507444907683
22,23,0.005955926146515782
23,24,0.005360333531864204
24,25,0.005360333531864204
25,26,0.004169148302561048
26,27,0.004764740917212626
27,28,0.002382370458606313
28,29,0.001786777843954735
29,30,0.001786777843954735
